pat_date	pat_userid	pat_num_actions
2012-10-06	7304264	1
2012-10-06	9109237	3
2012-10-06	10808414	1
2012-10-06	12615911	2
2012-10-06	13224898	1
2012-10-06	13517172	1
2012-10-06	13833598	2
2012-10-06	14159121	1
2012-10-06	14596827	4
2012-10-06	15243143	42
2012-10-06	15939444	174
2012-10-06	16255965	43
2012-10-06	16349307	2
2012-10-06	16396275	1
2012-10-06	16848128	2
2012-10-06	17599470	2
2012-10-07	52282	9
2012-10-07	207616	188
2012-10-07	245519	1
2012-10-07	262675	11
2012-10-07	283225	1
2012-10-07	1755837	27
2012-10-07	1839637	1
2012-10-07	1904640	11
2012-10-07	1998764	2
2012-10-07	2512606	9
2012-10-07	3855926	17
2012-10-07	4454776	10
2012-10-07	4850051	1
2012-10-07	6804626	105
2012-10-07	7131173	3
2012-10-07	7213284	3
2012-10-07	9109237	2
2012-10-07	9676170	1
2012-10-07	9882671	4
2012-10-07	10458246	5
2012-10-07	12751068	6
2012-10-07	14627597	8
2012-10-07	14730724	5
2012-10-07	15243143	22
2012-10-07	15419754	12
2012-10-07	15939444	87
2012-10-07	16130333	2
2012-10-07	16255965	61
2012-10-07	17373925	4
2012-10-07	17594517	1
2012-10-08	26248	2
2012-10-08	171330	2
2012-10-08	262675	4
2012-10-08	283225	2
2012-10-08	346148	3
2012-10-08	492056	10
2012-10-08	678051	2
2012-10-08	1046972	12
2012-10-08	1086679	1
2012-10-08	1904640	81
2012-10-08	3080493	7
2012-10-08	3167251	2
2012-10-08	3855926	96
2012-10-08	4850051	3
2012-10-08	5498907	11
2012-10-08	6804626	42
2012-10-08	6959733	6
2012-10-08	9109237	4
2012-10-08	12751068	16
2012-10-08	13224898	2
2012-10-08	14159121	1
2012-10-08	14627597	12
2012-10-08	15243143	2
2012-10-08	15419754	3
2012-10-08	15425179	11
2012-10-08	15584861	5
2012-10-08	15652108	7
2012-10-08	16240269	1
2012-10-08	16255965	4
2012-10-08	16787888	32
2012-10-08	16881459	4
2012-10-09	26248	4
2012-10-09	126457	3
2012-10-09	171330	1
2012-10-09	207616	148
2012-10-09	262675	9
2012-10-09	297315	3
2012-10-09	509743	2
2012-10-09	678051	1
2012-10-09	921400	2
2012-10-09	1086679	3
2012-10-09	1904640	30
2012-10-09	3080493	24
2012-10-09	3855926	35
2012-10-09	4850051	3
2012-10-09	5498907	9
2012-10-09	6804626	4
2012-10-09	6959733	53
2012-10-09	7213284	7
2012-10-09	7304264	1
2012-10-09	9344046	70
2012-10-09	10426732	4
2012-10-09	10509096	40
2012-10-09	12751068	4
2012-10-09	13616639	3
2012-10-09	13848841	11
2012-10-09	14627597	4
2012-10-09	15064917	12
2012-10-09	15225879	26
2012-10-09	15419754	2
2012-10-09	15425179	16
2012-10-09	15538522	3
2012-10-09	16255965	20
2012-10-09	16396275	1
2012-10-09	16567965	15
2012-10-09	16682238	42
2012-10-09	16787888	25
2012-10-09	17240256	2
2012-10-09	17315724	10
2012-10-09	17589125	4
2012-10-10	4323	1
2012-10-10	207616	972
2012-10-10	210954	1
2012-10-10	252600	2
2012-10-10	283225	1
2012-10-10	297315	1
2012-10-10	398051	1
2012-10-10	473546	1
2012-10-10	1046972	1
2012-10-10	1676211	6
2012-10-10	1904640	9
2012-10-10	2116232	33
2012-10-10	2512606	3
2012-10-10	3080493	20
2012-10-10	3167251	2
2012-10-10	3855926	105
2012-10-10	4850051	1
2012-10-10	5048054	2
2012-10-10	5498907	7
2012-10-10	6052161	3
2012-10-10	6959733	18
2012-10-10	9882671	13
2012-10-10	10534893	6
2012-10-10	11886648	37
2012-10-10	12424937	23
2012-10-10	12529706	4
2012-10-10	13224898	7
2012-10-10	13848841	10
2012-10-10	13947331	1
2012-10-10	15225879	3
2012-10-10	15243143	34
2012-10-10	15419754	14
2012-10-10	15425179	8
2012-10-10	15538522	2
2012-10-10	15652108	4
2012-10-10	15939444	22
2012-10-10	16567965	2
2012-10-10	16608544	41
2012-10-10	16787888	18
2012-10-10	17589125	2
2012-10-11	171330	13
2012-10-11	207616	227
2012-10-11	210954	48
2012-10-11	262675	2
2012-10-11	297315	5
2012-10-11	346148	2
2012-10-11	1086679	1
2012-10-11	1540109	11
2012-10-11	1904640	2
2012-10-11	2116232	2
2012-10-11	2157954	13
2012-10-11	3080493	28
2012-10-11	3855926	1
2012-10-11	4738001	15
2012-10-11	4850051	10
2012-10-11	5498907	3
2012-10-11	6052161	1
2012-10-11	6959733	9
2012-10-11	7304264	4
2012-10-11	9045288	2
2012-10-11	9109237	1
2012-10-11	10534893	3
2012-10-11	10672811	8
2012-10-11	11886648	8
2012-10-11	12493580	4
2012-10-11	12751068	2
2012-10-11	13616639	75
2012-10-11	13947331	5
2012-10-11	14159121	1
2012-10-11	15225879	26
2012-10-11	15243143	28
2012-10-11	15419754	3
2012-10-11	15651614	2
2012-10-11	15939444	480
2012-10-11	16255965	47
2012-10-11	16567965	8
2012-10-11	16608544	90
2012-10-11	16682238	56
2012-10-12	8881	3
2012-10-12	207616	2
2012-10-12	210954	14
2012-10-12	262675	1
2012-10-12	297315	1
2012-10-12	340520	2
2012-10-12	379675	2
2012-10-12	398051	1
2012-10-12	678051	1
2012-10-12	1540109	13
2012-10-12	1839637	1
2012-10-12	1904640	6
2012-10-12	2051880	1
2012-10-12	3080493	4
2012-10-12	3167251	4
2012-10-12	3855926	26
2012-10-12	4174864	11
2012-10-12	4850051	8
2012-10-12	5498907	6
2012-10-12	6610830	5
2012-10-12	7523308	10
2012-10-12	11698331	4
2012-10-12	12751068	20
2012-10-12	13512281	1
2012-10-12	13616639	15
2012-10-12	13947331	1
2012-10-12	14627597	3
2012-10-12	15225879	17
2012-10-12	15243143	8
2012-10-12	15425179	8
2012-10-12	15571685	55
2012-10-12	15799856	2
2012-10-12	15939444	263
2012-10-12	16255965	13
2012-10-12	16608544	25
2012-10-12	16682238	52
2012-10-13	210954	24
2012-10-13	262675	3
2012-10-13	340520	2
2012-10-13	346148	3
2012-10-13	1473712	44
2012-10-13	3080493	21
2012-10-13	3167251	2
2012-10-13	3855926	45
2012-10-13	4850051	7
2012-10-13	6610830	2
2012-10-13	10426732	2
2012-10-13	10534893	4
2012-10-13	10929479	4
2012-10-13	12460163	20
2012-10-13	12557839	13
2012-10-13	12751068	11
2012-10-13	12875904	2
2012-10-13	13848841	11
2012-10-13	13947331	4
2012-10-13	14596827	2
2012-10-13	15243143	3
2012-10-13	15425179	2
2012-10-13	16255965	56
2012-10-13	16396275	1
2012-10-13	16608544	91
2012-10-13	16682238	38
2012-10-13	16820853	77
2012-10-13	17598274	24
2012-10-14	59944	4
2012-10-14	207616	2
2012-10-14	262675	10
2012-10-14	340520	2
2012-10-14	346148	2
2012-10-14	563447	35
2012-10-14	749357	3
2012-10-14	1473712	41
2012-10-14	1904640	45
2012-10-14	2051880	6
2012-10-14	3080493	7
2012-10-14	3292650	2
2012-10-14	3855926	3
2012-10-14	4174864	4
2012-10-14	4850051	4
2012-10-14	5048054	4
2012-10-14	7213284	2
2012-10-14	8425369	1
2012-10-14	9109237	2
2012-10-14	10426732	10
2012-10-14	10440891	1
2012-10-14	10534893	10
2012-10-14	11393832	22
2012-10-14	11698331	8
2012-10-14	12460163	3
2012-10-14	13947331	3
2012-10-14	14596827	4
2012-10-14	15243143	2
2012-10-14	16255965	44
2012-10-14	16396275	2
2012-10-14	16608544	83
2012-10-14	16682238	14
2012-10-14	17240256	1
2012-10-15	59944	2
2012-10-15	207616	123
2012-10-15	262675	9
2012-10-15	283225	3
2012-10-15	297315	2
2012-10-15	563447	16
2012-10-15	1219841	2
2012-10-15	1378652	10
2012-10-15	1904640	15
2012-10-15	2037453	1
2012-10-15	3080493	16
2012-10-15	3167251	2
2012-10-15	3855926	34
2012-10-15	4174864	1
2012-10-15	4850051	15
2012-10-15	5498907	18
2012-10-15	6804626	3
2012-10-15	9109237	4
2012-10-15	9344046	16
2012-10-15	9951654	43
2012-10-15	10440891	4
2012-10-15	10929479	4
2012-10-15	11393832	4
2012-10-15	11803854	1
2012-10-15	11886648	8
2012-10-15	12353458	2
2012-10-15	12460163	4
2012-10-15	13616639	9
2012-10-15	14596827	2
2012-10-15	15064917	2
2012-10-15	15243143	3
2012-10-15	15425179	2
2012-10-15	15652108	5
2012-10-15	15751211	1
2012-10-15	16189936	4
2012-10-15	16255965	41
2012-10-15	16608544	18
2012-10-15	16682238	16
2012-10-15	16787888	4
2012-10-15	17042426	4
2012-10-16	207616	138
2012-10-16	264323	2
2012-10-16	265740	7
2012-10-16	297315	2
2012-10-16	861016	4
2012-10-16	1473712	1
2012-10-16	1540109	18
2012-10-16	3080493	3
2012-10-16	3855926	18
2012-10-16	4850051	4
2012-10-16	5498907	2
2012-10-16	6804626	19
2012-10-16	9109237	7
2012-10-16	9951654	29
2012-10-16	9965046	28
2012-10-16	10440891	27
2012-10-16	10534893	15
2012-10-16	11393832	2
2012-10-16	11886648	5
2012-10-16	12051134	10
2012-10-16	12460163	1
2012-10-16	14596827	6
2012-10-16	15243143	1
2012-10-16	15425179	4
2012-10-16	15751211	3
2012-10-16	16163846	2
2012-10-16	16255965	17
2012-10-16	16349307	4
2012-10-16	16682238	28
2012-10-16	17283576	63
2012-10-16	17311078	2
2012-10-17	21834	100
2012-10-17	36389	9
2012-10-17	207616	75
2012-10-17	262675	5
2012-10-17	265740	10
2012-10-17	297315	4
2012-10-17	492056	8
2012-10-17	563447	3
2012-10-17	1046972	7
2012-10-17	1378652	26
2012-10-17	1382933	5
2012-10-17	1473712	12
2012-10-17	1540109	6
2012-10-17	2051880	2
2012-10-17	3080493	30
2012-10-17	3167251	2
2012-10-17	3855926	28
2012-10-17	3957791	2
2012-10-17	4174864	1
2012-10-17	4381155	2
2012-10-17	4850051	7
2012-10-17	5048054	1
2012-10-17	5498907	16
2012-10-17	7219979	21
2012-10-17	8425369	8
2012-10-17	9109237	4
2012-10-17	9951654	42
2012-10-17	11886648	17
2012-10-17	12446735	2
2012-10-17	13029282	9
2012-10-17	13517172	1
2012-10-17	14596827	2
2012-10-17	15243143	10
2012-10-17	15425179	2
2012-10-17	15734428	6
2012-10-17	15751211	4
2012-10-17	16255965	8
2012-10-17	16349307	9
2012-10-17	16608544	35
2012-10-17	16682238	16
2012-10-17	16787888	1
2012-10-17	17283576	47
2012-10-17	17311078	3
2012-10-18	21834	85
2012-10-18	171330	1
2012-10-18	207616	107
2012-10-18	210954	10
2012-10-18	264323	1
2012-10-18	283225	1
2012-10-18	297315	3
2012-10-18	346148	1
2012-10-18	398051	2
2012-10-18	784330	6
2012-10-18	1046972	11
2012-10-18	1540109	4
2012-10-18	1839637	1
2012-10-18	1904640	5
2012-10-18	2051880	4
2012-10-18	3080493	6
2012-10-18	3957791	11
2012-10-18	4850051	9
2012-10-18	5311630	29
2012-10-18	5670051	4
2012-10-18	8786164	18
2012-10-18	9951654	26
2012-10-18	10440891	2
2012-10-18	10539714	8
2012-10-18	11886648	12
2012-10-18	12460163	3
2012-10-18	13947331	1
2012-10-18	14596827	4
2012-10-18	15243143	17
2012-10-18	15425179	6
2012-10-18	15751211	4
2012-10-18	16255965	100
2012-10-18	16787888	2
2012-10-18	17283576	7
2012-10-19	126457	4
2012-10-19	150159	3
2012-10-19	171330	5
2012-10-19	207616	101
2012-10-19	210954	3
2012-10-19	262675	4
2012-10-19	297315	1
2012-10-19	563447	13
2012-10-19	1378652	9
2012-10-19	1676211	2
2012-10-19	3080493	8
2012-10-19	3855926	60
2012-10-19	3957791	10
2012-10-19	4381155	1
2012-10-19	4850051	5
2012-10-19	5311630	44
2012-10-19	5498907	5
2012-10-19	6804626	31
2012-10-19	8425369	20
2012-10-19	8786164	1
2012-10-19	9951654	21
2012-10-19	10539714	3
2012-10-19	11393832	4
2012-10-19	12118286	9
2012-10-19	13947331	1
2012-10-19	13991374	2
2012-10-19	14596827	5
2012-10-19	14727197	8
2012-10-19	15243143	37
2012-10-19	16255965	40
2012-10-19	16608544	58
2012-10-19	16682238	40
2012-10-19	17283576	13
2012-10-20	26248	18
2012-10-20	126457	10
2012-10-20	204282	4
2012-10-20	207616	15
2012-10-20	210954	1
2012-10-20	262675	7
2012-10-20	346148	6
2012-10-20	1904640	23
2012-10-20	3080493	6
2012-10-20	3855926	42
2012-10-20	4850051	18
2012-10-20	5259502	1
2012-10-20	6804626	26
2012-10-20	7213284	3
2012-10-20	9951654	18
2012-10-20	10089744	8
2012-10-20	10440891	2
2012-10-20	10539714	6
2012-10-20	11698331	2
2012-10-20	13947331	2
